s1,s2,t1,t2
2336,1508,46.35,51.64
2335,1504,46.38,51.71
2331,1513,46.51,51.78
2333,1522,46.49,51.69
2330,1518,46.36,51.60
2331,1520,46.39,51.67
2331,1520,46.42,51.74
2332,1517,46.45,51.70
2337,1517,46.43,51.62
2337,1522,46.36,51.49
2340,1515,46.29,51.51
2341,1521,46.28,51.49
2342,1508,46.46,51.56
2344,1510,46.34,51.53
2342,1512,46.37,51.56
2341,1513,46.35,51.48
2341,1519,46.44,51.41
2340,1518,46.36,51.39
2340,1513,46.45,51.27
2341,1517,46.52,51.30
2340,1512,46.65,51.29
2337,1510,46.67,51.22
2342,1510,46.63,51.36
2339,1508,46.70,51.34
2338,1507,46.72,51.43
2335,1513,46.83,51.36
2332,1520,46.89,51.29
2331,1516,46.89,51.17
2326,1526,46.95,51.21
2325,1531,47.10,51.10
2327,1534,47.10,51.05
2329,1524,47.09,51.00
2330,1529,47.14,50.90
2333,1524,47.08,50.95
2334,1527,47.08,51.05
2339,1519,47.07,51.10
2337,1517,47.17,51.10
2334,1513,47.21,51.09
2332,1519,47.25,51.24
2334,1521,47.24,51.18
2336,1522,47.28,51.17
2332,1525,47.31,51.11
2332,1513,47.30,51.15
2335,1508,47.13,51.24
2335,1522,47.12,51.23
2325,1542,47.12,51.12
2310,1571,47.11,51.12
2289,1594,47.26,51.01
2255,1643,47.19,51.01
2210,1717,47.18,50.96
2165,1804,47.18,50.76
2112,1859,47.37,50.77
2077,1910,47.40,50.63
2057,1933,47.53,50.65
2057,1929,47.55,50.57
2060,1932,47.62,50.59
2059,1932,47.69,50.56
2055,1929,47.86,50.58
2042,1940,47.92,50.45
2030,1945,48.02,50.33
2017,1953,48.07,50.21
1997,1959,48.12,50.15
1978,1988,48.21,50.00
1943,2013,48.25,49.95
1932,2023,48.24,49.85
1931,2032,48.17,49.81
1934,2028,48.17,49.82
1936,2029,48.16,49.73
1942,2023,48.35,49.59
1947,2020,48.38,49.46
1951,2023,48.46,49.44
1951,2020,48.49,49.32
1951,2020,48.47,49.40
1952,2013,48.54,49.23
1952,2012,48.67,49.22
1962,2014,48.73,49.16
1970,2012,48.80,49.20
1981,2010,48.86,49.29
1993,1986,48.86,49.32
2012,1979,48.77,49.31
2047,1949,48.78,49.39
2092,1903,48.79,49.32
2145,1827,48.80,49.51
2203,1719,48.76,49.48
2298,1593,48.67,49.56
2309,1563,48.59,49.58
2250,1658,48.51,49.70
2152,1815,48.49,49.72
1987,2003,48.41,49.73
1901,2099,48.44,49.79
1876,2122,48.52,49.85
1877,2113,48.69,49.81
1893,2114,48.81,49.77
1902,2108,48.82,49.73
1919,2089,48.88,49.70
1937,2080,48.88,49.56
1954,2062,48.74,49.48
1955,2048,48.70,49.51
1957,2031,48.72,49.48
1953,2040,48.78,49.56
1948,2044,48.89,49.58
1945,2042,48.95,49.50
1956,2051,48.95,49.63
1944,2046,48.95,49.50
1951,2046,48.95,49.57
1960,2034,49.01,49.39
1967,2033,48.91,49.37
1966,2024,49.01,49.20
1970,2029,48.91,49.14
1965,2025,49.02,49.14
1965,2028,49.01,49.18
1967,2034,49.01,49.22
1971,2019,49.06,49.21
1970,2020,49.01,49.20
1980,2017,49.06,49.19
1990,2006,49.11,49.13
1996,1987,49.10,49.12
2016,1970,49.15,49.22
2044,1931,49.09,49.36
2078,1890,49.08,49.39
2102,1854,48.98,49.52
2120,1834,48.93,49.54
2133,1814,48.93,49.57
2142,1812,48.79,49.54
2154,1795,48.75,49.51
2176,1771,48.76,49.64
2198,1737,48.77,49.70
2220,1702,48.63,49.67
2247,1652,48.50,49.73
2279,1586,48.43,49.90
2327,1495,48.26,50.00
2318,1517,48.19,50.05
2323,1518,48.13,50.00
2328,1514,48.13,50.20
2326,1520,48.17,50.19
2335,1513,48.11,50.18
2336,1523,48.06,50.32
2335,1512,48.10,50.21
2338,1521,48.05,50.20
2336,1518,48.10,50.29
2335,1523,48.04,50.32
2335,1520,47.99,50.41
2338,1518,47.99,50.34
2366,1512,47.94,50.37
2336,1518,47.79,50.45
2333,1512,47.70,50.48
2328,1542,47.67,50.45
2310,1567,47.58,50.53
2289,1612,47.51,50.45
2248,1664,47.53,50.48
2198,1741,47.55,50.46
2138,1841,47.63,50.48
2075,1922,47.79,50.41
2021,1972,47.91,50.34
2003,1980,47.91,50.37
2009,1984,47.96,50.30
2012,1975,48.02,50.34
2012,1980,48.12,50.32
2008,1979,48.21,50.26
2003,1989,48.35,50.29
2002,1984,48.33,50.13
2003,1984,48.47,50.07
2004,1976,48.39,49.97
2002,1984,48.42,49.92
2000,1989,48.35,50.02
1997,1980,48.33,49.87
1996,1987,48.37,49.93
1991,1982,48.40,49.88
1964,2012,48.33,49.74
1926,2039,48.41,49.65
1897,2054,48.44,49.52
1823,2069,48.57,49.39
1838,2082,48.64,49.27
1813,2087,48.76,49.31
1800,2102,48.77,49.24
1720,2133,48.88,49.18
1700,2144,48.99,49.07
1689,2147,48.99,48.92
1670,2155,49.14,48.87
1648,2164,49.18,48.83
1629,2157,49.22,48.89
1621,2167,49.36,48.84
1614,2172,49.54,48.70
1598,2179,49.62,48.62
1588,2185,49.64,48.59
1581,2176,49.65,48.56
1572,2185,49.77,48.58
1568,2190,49.88,48.60
1555,2193,49.89,48.52
1552,2190,49.94,48.49
1551,2188,50.05,48.57
1552,2198,50.09,48.49
1546,2196,50.04,48.42
1534,2208,50.04,48.40
1523,2212,50.14,48.28
1524,2215,50.23,48.16
1511,2206,50.32,48.05
1516,2215,50.35,48.10
1513,2213,50.43,48.05
1512,2214,50.51,48.14
1510,2211,50.64,48.14
1512,2223,50.76,48.18
1514,2225,50.77,48.17
1510,2216,50.88,48.01
1509,2221,50.99,48.06
1513,2225,51.04,48.11
1521,2221,51.03,48.05
1537,2224,51.08,47.95
1544,2222,51.03,47.85
1558,2225,50.98,47.76
1558,2222,51.08,47.62
1556,2224,51.22,47.64
1550,2227,51.26,47.76
1544,2234,51.25,47.67
1546,2226,51.29,47.69
1547,2229,51.32,47.75
1553,2215,51.36,47.67
1553,2215,51.44,47.68
1561,2224,51.52,47.55
1562,2225,51.54,47.42
1563,2230,51.51,47.40
1563,2225,51.54,47.33
1563,2223,51.66,47.21
1559,2227,51.68,47.25
1562,2226,51.64,47.24
1562,2228,51.51,47.28
1558,2234,51.59,47.36
1559,2229,51.56,47.20
1562,2231,51.48,47.19
1557,2232,51.46,47.28
1551,2223,51.43,47.36
1550,2232,51.41,47.34
1550,2231,51.54,47.33
1553,2231,51.56,47.36
1553,2224,51.49,47.34
1553,2231,51.51,47.33
1557,2233,51.59,47.26
1564,2236,51.56,47.30
1568,2226,51.53,47.33
1570,2229,51.50,47.32
1578,2228,51.48,47.25
1586,2220,51.45,47.24
1592,2220,51.38,47.18
1594,2226,51.41,47.12
1595,2223,51.44,47.11
1596,2220,51.37,47.26
1602,2220,51.35,47.24
1608,2219,51.38,47.28
1619,2223,51.31,47.17
1634,2224,51.25,47.16
1644,2228,51.24,47.25
1658,2227,51.27,47.14
1669,2233,51.26,47.28
1671,2233,51.30,47.42
1668,2226,51.28,47.35
1656,2229,51.27,47.33
1636,2231,51.25,47.26
1691,2233,51.24,47.25
1688,2220,51.18,47.14
1690,2226,51.12,47.18
1690,2222,51.11,47.22
1695,2227,51.06,47.11
1699,2223,51.06,47.15
1701,2222,51.10,47.10
1703,2222,51.15,47.09
1705,2216,51.04,46.99
1708,2221,50.99,46.89
1709,2216,51.04,46.89
1713,2224,51.14,46.90
1717,2212,51.18,46.90
1720,2216,51.17,46.86
1725,2212,51.11,46.87
1730,2218,51.01,46.87
1727,2213,51.01,46.73
1729,2214,51.01,46.74
1732,2218,50.91,46.81
1735,2217,50.81,46.86
1740,2210,50.87,46.92
1742,2209,50.88,47.08
1733,2212,50.83,47.12
1748,2205,50.79,47.27
1746,2207,50.75,47.20
1752,2205,50.66,47.29
1749,2202,50.68,47.33
1747,2202,50.70,47.36
1749,2210,50.76,47.49
1755,2204,50.72,47.52
1763,2206,50.64,47.54
1769,2206,50.61,47.67
1773,2203,50.68,47.63
1773,2194,50.54,47.65
1780,2198,50.51,47.67
1781,2198,50.54,47.68
1781,2196,50.56,47.65
1778,2190,50.63,47.57
1774,2192,50.70,47.49
1769,2188,50.67,47.67
1720,2194,50.58,47.63
1790,2188,50.60,47.60
1820,2187,50.57,47.57
